#TLD: top
#Script/Language Identifier: ja
#Script/Language Description: Japanese
#Version: 1.0
#Effective Date: 2015-11-12
U+513A	# CJK Ideograph
U+513B	# CJK Ideograph
U+513C	# CJK Ideograph
U+513F	# CJK Ideograph
U+5140	# CJK Ideograph
U+5141	# CJK Ideograph
U+5143	# CJK Ideograph
U+5144	# CJK Ideograph
U+5145	# CJK Ideograph
U+5146	# CJK Ideograph
U+5147	# CJK Ideograph
U+5148	# CJK Ideograph
U+5149	# CJK Ideograph
U+514B	# CJK Ideograph
U+514C	# CJK Ideograph
U+514D	# CJK Ideograph
U+514E	# CJK Ideograph
U+5150	# CJK Ideograph
U+5152	# CJK Ideograph
U+5154	# CJK Ideograph
U+515A	# CJK Ideograph
U+515C	# CJK Ideograph
U+5162	# CJK Ideograph
U+5165	# CJK Ideograph
U+5168	# CJK Ideograph
U+5169	# CJK Ideograph
U+516A	# CJK Ideograph
U+516B	# CJK Ideograph
U+516C	# CJK Ideograph
U+516D	# CJK Ideograph
U+516E	# CJK Ideograph
U+5171	# CJK Ideograph
U+5175	# CJK Ideograph
U+5176	# CJK Ideograph
U+5177	# CJK Ideograph
U+5178	# CJK Ideograph
U+517C	# CJK Ideograph
U+5180	# CJK Ideograph
U+5182	# CJK Ideograph
U+5185	# CJK Ideograph
U+5186	# CJK Ideograph
U+5189	# CJK Ideograph
U+518A	# CJK Ideograph
U+518C	# CJK Ideograph
U+518D	# CJK Ideograph
U+518F	# CJK Ideograph
U+5190	# CJK Ideograph
U+5191	# CJK Ideograph
U+5192	# CJK Ideograph
U+5193	# CJK Ideograph
U+5195	# CJK Ideograph
U+5196	# CJK Ideograph
U+5197	# CJK Ideograph
U+5199	# CJK Ideograph
U+51A0	# CJK Ideograph
U+51A2	# CJK Ideograph
U+51A4	# CJK Ideograph
U+51A5	# CJK Ideograph
U+51A6	# CJK Ideograph
U+51A8	# CJK Ideograph
U+51A9	# CJK Ideograph
U+51AA	# CJK Ideograph
U+51AB	# CJK Ideograph
U+51AC	# CJK Ideograph
U+51B0	# CJK Ideograph
U+51B1	# CJK Ideograph
U+51B2	# CJK Ideograph
U+51B3	# CJK Ideograph
U+51B4	# CJK Ideograph
U+51B5	# CJK Ideograph
U+51B6	# CJK Ideograph
U+51B7	# CJK Ideograph
U+51BD	# CJK Ideograph
U+51C4	# CJK Ideograph
U+51C5	# CJK Ideograph
U+51C6	# CJK Ideograph
U+51C9	# CJK Ideograph
U+51CB	# CJK Ideograph
U+51CC	# CJK Ideograph
U+51CD	# CJK Ideograph
U+51D6	# CJK Ideograph
U+51DB	# CJK Ideograph
U+51DC	# CJK Ideograph
U+51DD	# CJK Ideograph
U+51E0	# CJK Ideograph
U+51E1	# CJK Ideograph
U+51E6	# CJK Ideograph
U+51E7	# CJK Ideograph
U+51E9	# CJK Ideograph
U+51EA	# CJK Ideograph
